dir,seg_name,status,matched_signals,fs,n_samples,output_path,error,elapsed_sec
mimic3wdb/1.0/30/3000003,3000003_0007,downloaded,ABP,125.0,2155174.0,downloaded_signals\3000003_0007.csv,,
mimic3wdb/1.0/30/3000003,3000003_0008,downloaded,ABP,125.0,217500.0,downloaded_signals\3000003_0008.csv,,
mimic3wdb/1.0/30/3000003,3000003_0009,downloaded,ABP,125.0,877500.0,downloaded_signals\3000003_0009.csv,,
mimic3wdb/1.0/30/3000003,3000003_0010,downloaded,ABP,125.0,1343738.0,downloaded_signals\3000003_0010.csv,,
mimic3wdb/1.0/30/3000003,3000003_0013,downloaded,ABP,125.0,523378.0,downloaded_signals\3000003_0013.csv,,
mimic3wdb/1.0/30/3000003,3000003_0014,downloaded,ABP,125.0,2400000.0,downloaded_signals\3000003_0014.csv,,
mimic3wdb/1.0/30/3000063,3000063_0006,downloaded,ABP,125.0,742015.0,downloaded_signals\3000063_0006.csv,,
mimic3wdb/1.0/30/3000063,3000063_0007,downloaded,ABP,125.0,382110.0,downloaded_signals\3000063_0007.csv,,
mimic3wdb/1.0/30/3000063,3000063_0010,downloaded,ABP,125.0,89344.0,downloaded_signals\3000063_0010.csv,,
mimic3wdb/1.0/30/3000063,3000063_0011,downloaded,ABP,125.0,357504.0,downloaded_signals\3000063_0011.csv,,
mimic3wdb/1.0/30/3000063,3000063_0012,downloaded,ABP,125.0,74624.0,downloaded_signals\3000063_0012.csv,,
mimic3wdb/1.0/30/3000063,3000063_0013,downloaded,ABP,125.0,120448.0,downloaded_signals\3000063_0013.csv,,
mimic3wdb/1.0/30/3000063,3000063_0014,downloaded,ABP,125.0,276224.0,downloaded_signals\3000063_0014.csv,,
mimic3wdb/1.0/30/3000063,3000063_0015,downloaded,ABP,125.0,277376.0,downloaded_signals\3000063_0015.csv,,
mimic3wdb/1.0/30/3000063,3000063_0016,downloaded,ABP,125.0,1001537.0,downloaded_signals\3000063_0016.csv,,
mimic3wdb/1.0/30/3000063,3000063_0018,downloaded,ABP,125.0,604033.0,downloaded_signals\3000063_0018.csv,,
mimic3wdb/1.0/30/3000063,3000063_0019,downloaded,ABP,125.0,112000.0,downloaded_signals\3000063_0019.csv,,
mimic3wdb/1.0/30/3000063,3000063_0020,downloaded,ABP,125.0,4773842.0,downloaded_signals\3000063_0020.csv,,
mimic3wdb/1.0/30/3000063,3000063_0022,downloaded,ABP,125.0,5847070.0,downloaded_signals\3000063_0022.csv,,
mimic3wdb/1.0/30/3000063,3000063_0023,downloaded,ABP,125.0,1417305.0,downloaded_signals\3000063_0023.csv,,
mimic3wdb/1.0/30/3000063,3000063_0025,downloaded,ABP,125.0,2395875.0,downloaded_signals\3000063_0025.csv,,
mimic3wdb/1.0/30/3000063,3000063_0029,downloaded,ABP,125.0,8849712.0,downloaded_signals\3000063_0029.csv,,
mimic3wdb/1.0/30/3000063,3000063_0030,downloaded,ABP,125.0,43125.0,downloaded_signals\3000063_0030.csv,,
mimic3wdb/1.0/30/3000063,3000063_0033,downloaded,ABP,125.0,1373750.0,downloaded_signals\3000063_0033.csv,,
mimic3wdb/1.0/30/3000105,3000105_0008,downloaded,ABP,125.0,1653656.0,downloaded_signals\3000105_0008.csv,,
mimic3wdb/1.0/30/3000105,3000105_0009,downloaded,ABP,125.0,597724.0,downloaded_signals\3000105_0009.csv,,
mimic3wdb/1.0/30/3000105,3000105_0011,downloaded,ABP,125.0,249648.0,downloaded_signals\3000105_0011.csv,,
mimic3wdb/1.0/30/3000126,3000126_0004,downloaded,ABP,125.0,80238.0,downloaded_signals\3000126_0004.csv,,
mimic3wdb/1.0/30/3000126,3000126_0006,downloaded,ABP,125.0,1515834.0,downloaded_signals\3000126_0006.csv,,
mimic3wdb/1.0/30/3000126,3000126_0007,downloaded,ABP,125.0,6337500.0,downloaded_signals\3000126_0007.csv,,
